patterns,responses,tag,label
how do i take a screenshot on an iphone,"To take a screenshot on an iPhone, press and hold the Side button and the Volume Up button simultaneously. The screen will flash briefly, and a thumbnail of the screenshot will appear in the bottom-left corner of the screen. Tap the thumbnail to view or edit the screenshot.",how_do_i_take_a_screenshot_on_an_iphone?,0
how do i ingest a screenshot on an iphone,"To take a screenshot on an iPhone, press and hold the Side button and the Volume Up button simultaneously. The screen will flash briefly, and a thumbnail of the screenshot will appear in the bottom-left corner of the screen. Tap the thumbnail to view or edit the screenshot.",how_do_i_take_a_screenshot_on_an_iphone?,0
how do i adopt a screenshot on an iphone,"To take a screenshot on an iPhone, press and hold the Side button and the Volume Up button simultaneously. The screen will flash briefly, and a thumbnail of the screenshot will appear in the bottom-left corner of the screen. Tap the thumbnail to view or edit the screenshot.",how_do_i_take_a_screenshot_on_an_iphone?,0
how do i conduct a screenshot on an iphone,"To take a screenshot on an iPhone, press and hold the Side button and the Volume Up button simultaneously. The screen will flash briefly, and a thumbnail of the screenshot will appear in the bottom-left corner of the screen. Tap the thumbnail to view or edit the screenshot.",how_do_i_take_a_screenshot_on_an_iphone?,0
how do i require a screenshot on an iphone,"To take a screenshot on an iPhone, press and hold the Side button and the Volume Up button simultaneously. The screen will flash briefly, and a thumbnail of the screenshot will appear in the bottom-left corner of the screen. Tap the thumbnail to view or edit the screenshot.",how_do_i_take_a_screenshot_on_an_iphone?,0
how do i change my wallpaper on an iphone,"To change your wallpaper on an iPhone, go to Settings > Wallpaper. Select whether you want to change the wallpaper for your Lock Screen, Home Screen, or both. Choose from a variety of built-in wallpapers or use your own photos.",how_do_i_change_my_wallpaper_on_an_iphone?,1
how do i change my paper on an iphone,"To change your wallpaper on an iPhone, go to Settings > Wallpaper. Select whether you want to change the wallpaper for your Lock Screen, Home Screen, or both. Choose from a variety of built-in wallpapers or use your own photos.",how_do_i_change_my_wallpaper_on_an_iphone?,1
how do i change my paper on an iphone,"To change your wallpaper on an iPhone, go to Settings > Wallpaper. Select whether you want to change the wallpaper for your Lock Screen, Home Screen, or both. Choose from a variety of built-in wallpapers or use your own photos.",how_do_i_change_my_wallpaper_on_an_iphone?,1
how do i change my wallpaper on an iphone,"To change your wallpaper on an iPhone, go to Settings > Wallpaper. Select whether you want to change the wallpaper for your Lock Screen, Home Screen, or both. Choose from a variety of built-in wallpapers or use your own photos.",how_do_i_change_my_wallpaper_on_an_iphone?,1
how do i deepen my wallpaper on an iphone,"To change your wallpaper on an iPhone, go to Settings > Wallpaper. Select whether you want to change the wallpaper for your Lock Screen, Home Screen, or both. Choose from a variety of built-in wallpapers or use your own photos.",how_do_i_change_my_wallpaper_on_an_iphone?,1
how do i make a phone call on an iphone,"To make a phone call on an iPhone, open the Phone app and tap the Contacts tab. Find the contact you want to call and tap their name. Alternatively, you can enter a phone number manually in the dial pad.",how_do_i_make_a_phone_call_on_an_iphone?,2
how do i make a phone margincall on an iphone,"To make a phone call on an iPhone, open the Phone app and tap the Contacts tab. Find the contact you want to call and tap their name. Alternatively, you can enter a phone number manually in the dial pad.",how_do_i_make_a_phone_call_on_an_iphone?,2
how do i make a telephoneset call on an iphone,"To make a phone call on an iPhone, open the Phone app and tap the Contacts tab. Find the contact you want to call and tap their name. Alternatively, you can enter a phone number manually in the dial pad.",how_do_i_make_a_phone_call_on_an_iphone?,2
how do i make a phone predict on an iphone,"To make a phone call on an iPhone, open the Phone app and tap the Contacts tab. Find the contact you want to call and tap their name. Alternatively, you can enter a phone number manually in the dial pad.",how_do_i_make_a_phone_call_on_an_iphone?,2
how do i make a telephone call on an iphone,"To make a phone call on an iPhone, open the Phone app and tap the Contacts tab. Find the contact you want to call and tap their name. Alternatively, you can enter a phone number manually in the dial pad.",how_do_i_make_a_phone_call_on_an_iphone?,2
how do i send a text message on an iphone,"To send a text message on an iPhone, open the Messages app and tap the New Message button. Enter the name or phone number of the person you want to text, and then type your message. Tap the Send button when you're done.",how_do_i_send_a_text_message_on_an_iphone?,3
how do i send a textualmatter message on an iphone,"To send a text message on an iPhone, open the Messages app and tap the New Message button. Enter the name or phone number of the person you want to text, and then type your message. Tap the Send button when you're done.",how_do_i_send_a_text_message_on_an_iphone?,3
how do i send a text message on an iphone,"To send a text message on an iPhone, open the Messages app and tap the New Message button. Enter the name or phone number of the person you want to text, and then type your message. Tap the Send button when you're done.",how_do_i_send_a_text_message_on_an_iphone?,3
how do i direct a text message on an iphone,"To send a text message on an iPhone, open the Messages app and tap the New Message button. Enter the name or phone number of the person you want to text, and then type your message. Tap the Send button when you're done.",how_do_i_send_a_text_message_on_an_iphone?,3
how do i transport a text message on an iphone,"To send a text message on an iPhone, open the Messages app and tap the New Message button. Enter the name or phone number of the person you want to text, and then type your message. Tap the Send button when you're done.",how_do_i_send_a_text_message_on_an_iphone?,3
how do i use siri on an iphone,"To use Siri on an iPhone, press and hold the Home button (for older iPhones) or press and hold the Side button (for newer iPhones). Speak your request to Siri, and it will try to fulfill your request. You can ask Siri to set alarms, make calls, send texts, get directions, play music, and more.",how_do_i_use_siri_on_an_iphone?,4
how do i role siri on an iphone,"To use Siri on an iPhone, press and hold the Home button (for older iPhones) or press and hold the Side button (for newer iPhones). Speak your request to Siri, and it will try to fulfill your request. You can ask Siri to set alarms, make calls, send texts, get directions, play music, and more.",how_do_i_use_siri_on_an_iphone?,4
how do i utilisation siri on an iphone,"To use Siri on an iPhone, press and hold the Home button (for older iPhones) or press and hold the Side button (for newer iPhones). Speak your request to Siri, and it will try to fulfill your request. You can ask Siri to set alarms, make calls, send texts, get directions, play music, and more.",how_do_i_use_siri_on_an_iphone?,4
how do i economicconsumption siri on an iphone,"To use Siri on an iPhone, press and hold the Home button (for older iPhones) or press and hold the Side button (for newer iPhones). Speak your request to Siri, and it will try to fulfill your request. You can ask Siri to set alarms, make calls, send texts, get directions, play music, and more.",how_do_i_use_siri_on_an_iphone?,4
how do i expend siri on an iphone,"To use Siri on an iPhone, press and hold the Home button (for older iPhones) or press and hold the Side button (for newer iPhones). Speak your request to Siri, and it will try to fulfill your request. You can ask Siri to set alarms, make calls, send texts, get directions, play music, and more.",how_do_i_use_siri_on_an_iphone?,4
how do i take a selfie on an iphone,"To take a selfie on an iPhone, open the Camera app and swipe to the front-facing camera. Make sure your face is centered in the frame, and then tap the shutter button to take the photo. You can also use the volume up button as a shutter button.",how_do_i_take_a_selfie_on_an_iphone?,5
how do i shoot a selfie on an iphone,"To take a selfie on an iPhone, open the Camera app and swipe to the front-facing camera. Make sure your face is centered in the frame, and then tap the shutter button to take the photo. You can also use the volume up button as a shutter button.",how_do_i_take_a_selfie_on_an_iphone?,5
how do i lookat a selfie on an iphone,"To take a selfie on an iPhone, open the Camera app and swipe to the front-facing camera. Make sure your face is centered in the frame, and then tap the shutter button to take the photo. You can also use the volume up button as a shutter button.",how_do_i_take_a_selfie_on_an_iphone?,5
how do i engage a selfie on an iphone,"To take a selfie on an iPhone, open the Camera app and swipe to the front-facing camera. Make sure your face is centered in the frame, and then tap the shutter button to take the photo. You can also use the volume up button as a shutter button.",how_do_i_take_a_selfie_on_an_iphone?,5
how do i contain a selfie on an iphone,"To take a selfie on an iPhone, open the Camera app and swipe to the front-facing camera. Make sure your face is centered in the frame, and then tap the shutter button to take the photo. You can also use the volume up button as a shutter button.",how_do_i_take_a_selfie_on_an_iphone?,5
how do i use facetime on an iphone,"To use FaceTime on an iPhone, open the FaceTime app and tap the + button. Enter the name or phone number of the person you want to FaceTime, and then tap the Video button. Alternatively, you can tap the Audio button to make an audio-only FaceTime call.",how_do_i_use_facetime_on_an_iphone?,6
how do i apply facetime on an iphone,"To use FaceTime on an iPhone, open the FaceTime app and tap the + button. Enter the name or phone number of the person you want to FaceTime, and then tap the Video button. Alternatively, you can tap the Audio button to make an audio-only FaceTime call.",how_do_i_use_facetime_on_an_iphone?,6
how do i employment facetime on an iphone,"To use FaceTime on an iPhone, open the FaceTime app and tap the + button. Enter the name or phone number of the person you want to FaceTime, and then tap the Video button. Alternatively, you can tap the Audio button to make an audio-only FaceTime call.",how_do_i_use_facetime_on_an_iphone?,6
how do i enjoyment facetime on an iphone,"To use FaceTime on an iPhone, open the FaceTime app and tap the + button. Enter the name or phone number of the person you want to FaceTime, and then tap the Video button. Alternatively, you can tap the Audio button to make an audio-only FaceTime call.",how_do_i_use_facetime_on_an_iphone?,6
how do i expend facetime on an iphone,"To use FaceTime on an iPhone, open the FaceTime app and tap the + button. Enter the name or phone number of the person you want to FaceTime, and then tap the Video button. Alternatively, you can tap the Audio button to make an audio-only FaceTime call.",how_do_i_use_facetime_on_an_iphone?,6
